adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/1XDDXPXGiI8id7MrUxK36ke7gkX.jpg,"[28, 12, 16, 35, 10751]",1011985,en,Kung Fu Panda 4,"Po is gearing up to become the spiritual leader of his Valley of Peace, but also needs someone to take his place as Dragon Warrior. As such, he will train a new kung fu practitioner for the spot and will encounter a villain called the Chameleon who conjures villains from the past.",5263.595,/wkfG7DaExmcVsGLR4kLouMwxeT5.jpg,2024-03-02,Kung Fu Panda 4,False,6.944,277
False,/zAepSrO99owYwQqi0QG2AS0dHXw.jpg,"[28, 14]",634492,en,Madame Web,"Forced to confront revelations about her past, paramedic Cassandra Webb forges a relationship with three young women destined for powerful futures...if they can all survive a deadly present.",2883.46,/rULWuutDcN5NvtiZi4FRPzRYWSh.jpg,2024-02-14,Madame Web,False,5.56,709
False,/deLWkOLZmBNkm8p16igfapQyqeq.jpg,"[9648, 14, 28, 12, 878]",763215,en,Damsel,A young woman's marriage to a charming prince turns into a fierce fight for survival when she's offered up as a sacrifice to a fire-breathing dragon.,1691.201,/sMp34cNKjIb18UBOCoAv4DpCxwY.jpg,2024-03-08,Damsel,False,7.175,1110
False,/mDeUmPe4MF35WWlAqj4QFX5UauJ.jpg,"[28, 27, 53]",1096197,pt,No Way Up,Characters from different backgrounds are thrown together when the plane they're travelling on crashes into the Pacific Ocean. A nightmare fight for survival ensues with the air supply running out and dangers creeping in from all sides.,1086.198,/hu40Uxp9WtpL34jv3zyWLb5zEVY.jpg,2024-01-18,No Way Up,False,6.121,272
False,/oFAukXiMPrwLpbulGmB5suEZlrm.jpg,"[28, 12, 878, 14, 18]",624091,id,Sri Asih,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",1237.929,/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,2022-11-17,Sri Asih,False,6.432,37
False,/xvk5AhfhgQcTuaCQyq3XqAnhEma.jpg,"[28, 12, 35]",848538,en,Argylle,"When the plots of reclusive author Elly Conway's fictional espionage novels begin to mirror the covert actions of a real-life spy organization, quiet evenings at home become a thing of the past. Accompanied by her cat Alfie and Aiden, a cat-allergic spy, Elly races across the world to stay one step ahead of the killers as the line between Conway's fictional world and her real one begins to blur.",992.189,/95VlSEfLMqeX36UVcHJuNlWEpwf.jpg,2024-01-31,Argylle,False,6.143,678
False,/gklkxY0veMajdCiGe6ggsh07VG2.jpg,"[16, 28, 12, 35, 10751]",940551,en,Migration,"After a migrating duck family alights on their pond with thrilling tales of far-flung places, the Mallard family embarks on a family road trip, from New England, to New York City, to tropical Jamaica.",868.156,/ldfCF9RhR40mppkzmftxapaHeTo.jpg,2023-12-06,Migration,False,7.548,984
False,/87IVlclAfWL6mdicU1DDuxdwXwe.jpg,"[878, 12]",693134,en,Dune: Part Two,"Follow the mythic journey of Paul Atreides as he unites with Chani and the Fremen while on a path of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the known universe, Paul endeavors to prevent a terrible future only he can foresee.",853.03,/8b8R8l88Qje9dn9OE8PY05Nxl1X.jpg,2024-02-27,Dune: Part Two,False,8.398,2042
False,/u0P5drNyTrZoGyJONPcZGbv1mNP.jpg,"[28, 53]",1124127,en,Air Force One Down,"On her first assignment aboard Air Force One, a rookie Secret Service agent faces the ultimate test when terrorists hijack the plane, intent on derailing a pivotal energy deal. With the President's life on the line and a global crisis at stake, her bravery and skills are pushed to the limit in a relentless battle that could change the course of history.",1032.689,/nKPoSD4pZ3s3CJ9g3cqWRcQ41TC.jpg,2024-02-09,Air Force One Down,False,6.153,36
False,/1ZSKH5GGFlM8M32K34GMdaNS2Ew.jpg,"[10402, 36, 18]",802219,en,Bob Marley: One Love,Jamaican singer-songwriter Bob Marley overcomes adversity to become the most famous reggae musician in the world.,802.677,/4eWeXswkAUIvdVWFvPrUFu2TxuI.jpg,2024-02-14,Bob Marley: One Love,False,6.983,345
False,/qVrS8bu1B7G1tgLTlCZQi4CFsTh.jpg,"[28, 53, 10752]",969492,en,Land of Bad,"When a Delta Force special ops mission goes terribly wrong, Air Force drone pilot Reaper has 48 hours to remedy what has devolved into a wild rescue operation. With no weapons and no communication other than the drone above, the ground mission suddenly becomes a full-scale battle when the team is discovered by the enemy.",781.037,/h3jYanWMEJq6JJsCopy1h7cT2Hs.jpg,2024-01-25,Land of Bad,False,7.101,407
False,/47olX0FCvUCfAqlp8cK0O5fKLav.jpg,"[16, 35, 878]",1239251,en,Megamind vs. the Doom Syndicate,"Megamind's former villain team, The Doom Syndicate, has returned. Our newly crowned blue hero must now keep up evil appearances until he can assemble his friends (Roxanne, Ol' Chum and Keiko) to stop his former evil teammates from launching Metro City to the Moon.",854.157,/yRZfiG1QpRkBc7fAmxfcR7Md5EC.jpg,2024-03-01,Megamind vs. the Doom Syndicate,False,5.667,132
False,/bQS43HSLZzMjZkcHJz4fGc7fNdz.jpg,"[878, 10749, 35]",792307,en,Poor Things,"Brought back to life by an unorthodox scientist, a young woman runs off with a debauched lawyer on a whirlwind adventure across the continents. Free from the prejudices of her times, she grows steadfast in her purpose to stand for equality and liberation.",692.365,/kCGlIMHnOm8JPXq3rXM6c5wMxcT.jpg,2023-12-07,Poor Things,False,7.856,2614
False,/xRd1eJIDe7JHO5u4gtEYwGn5wtf.jpg,"[28, 878, 12]",823464,en,Godzilla x Kong: The New Empire,"Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence – and our own.",688.881,/vAoubdb2TeqA9joJ7FBcchUMSC3.jpg,2024-03-27,Godzilla x Kong: The New Empire,False,8.3,13
False,/mEoIDEiePnYj178H9znzbl9zvky.jpg,[28],1006540,en,Bullet Train Down,"On its maiden run, the world's fastest bullet train is rigged with a bomb that will explode if it dips below 200 mph.",682.584,/5a7cocgyVuFjYV71neDIGVzD6Yq.jpg,2022-08-01,Bullet Train Down,False,4.714,14
False,/yyFc8Iclt2jxPmLztbP617xXllT.jpg,"[35, 10751, 14]",787699,en,Wonka,"Willy Wonka – chock-full of ideas and determined to change the world one delectable bite at a time – is proof that the best things in life begin with a dream, and if you’re lucky enough to meet Willy Wonka, anything is possible.",631.235,/qhb1qOilapbapxWQn9jtRCMwXJF.jpg,2023-12-06,Wonka,False,7.212,2618
False,/cu5Qk2QHxOyyMrD3Bq93DxgmJer.jpg,"[28, 80]",1046090,zh,周處除三害,"The arrogant, third most-wanted criminal in Taiwan, decides to get rid of the top two competitors and crowns himself the most-wanted criminal before dying.",744.97,/7IJ7F8tX7IAkpUdaGovOBJqORnJ.jpg,2023-10-06,"The Pig, the Snake and the Pigeon",False,7.48,101
False,/ekRp1sEA8pnuzVHQkUESTgNSKdW.jpg,"[878, 28, 80]",932420,en,Code 8 Part II,"In a world where superpowered people are heavily policed by robots, an ex-con teams up with a drug lord he despises to protect a teen from a corrupt cop.",735.849,/hhvMTxlTZtnCOe7YFhod9uz3m37.jpg,2024-02-27,Code 8 Part II,False,6.525,339
False,/kSdIVZu7Cv60o9hTbKBzcTrbMX8.jpg,"[28, 53]",984249,en,Ruthless,"A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.",541.938,/4ndp1pnHWRuiZLNpFJvO4Kh6Tav.jpg,2023-12-14,Ruthless,False,6.647,34
False,/4Ep2KivIBUZbkS7kHjW7Qywnhhj.jpg,[28],1049948,en,Vikings: Battle of Heirs,"A young Viking must come to terms with the realization that he may be the King's son, who was switched at birth, but not before others try to take his rightful place.",661.057,/87goLbbqrJqAxqDS5cBsik1zKT.jpg,2023-04-28,Vikings: Battle of Heirs,False,7.8,5
False,/i7nnmCTnjK50vNqbMfVtmoVULWJ.jpg,[28],1081620,en,The Weapon,"Dallas is a one-man killing machine on a mysterious rampage. His attacks on biker gangs and meth labs anger the Vegas mob boss who’s holding Dallas’ girlfriend hostage. But who is Dallas working for? Even torture won’t make him talk, and he won’t stop until justice is served.",543.173,/slQYCDzCMM8SBh9Xa3aPeM2fekA.jpg,2023-02-17,The Weapon,False,5.382,17
False,/kSdIVZu7Cv60o9hTbKBzcTrbMX8.jpg,"[28, 53]",984249,en,Ruthless,"A high school coach, whose teenage daughter was murdered, takes matters into his own hands by going after the men who kidnap his students for their sex trafficking operation.",541.938,/4ndp1pnHWRuiZLNpFJvO4Kh6Tav.jpg,2023-12-14,Ruthless,False,6.681,36
False,/nb3xI8XI3w4pMVZ38VijbsyBqP4.jpg,"[18, 36]",872585,en,Oppenheimer,The story of J. Robert Oppenheimer's role in the development of the atomic bomb during World War II.,529.261,/8Gxv8gSFCU0XGDykEGv7zR1n2ua.jpg,2023-07-19,Oppenheimer,False,8.113,7344
False,/wqmemsQb8xcLVQkwt8WTYnMIYms.jpg,"[28, 35]",1217409,es,Jaque Mate,"Duque, an international secret agent who retired years ago after a traumatic event, is forced to return to action when a commando operative kidnaps his niece and forces him to steal a precious scientific formula as part of the ransom.",526.487,/26VzK0GVAsZhVXIbv3qDKiwBYud.jpg,2024-01-25,Jaque Mate,False,4.375,8
False,/hIUs8RzKlrzgbWxn2EpWmiTFqCc.jpg,"[878, 53]",870404,en,Meteor,"After a meteor collides into Earth, a lonely rancher and a lost young girl are on the run from vicious mercenaries.",487.982,/tVMddOS5bi3YPVPgTPlEw0TOWoF.jpg,2021-09-01,Meteor,False,5.418,85
False,/xPTefQ4CZpWapxiEsAZsxtidS49.jpg,"[10751, 878]",682075,en,The Adventure of A.R.I.: My Robot Friend,A teenager summons the courage to help a friendly robot known as A.R.I. kidnapped by a ruthless lab director working for a powerful corporation seeking to turn him into a dangerous weapon in order to rule the world.,487.047,/txcjXiyhBvsSFyZtgCHWW7CyIeN.jpg,2022-01-13,The Adventure of A.R.I.: My Robot Friend,False,7.1,8
False,/oe7mWkvYhK4PLRNAVSvonzyUXNy.jpg,"[28, 53]",359410,en,Road House,"Ex-UFC fighter Dalton takes a job as a bouncer at a Florida Keys roadhouse, only to discover that this paradise is not all it seems.",476.367,/bXi6IQiQDHD00JFio5ZSZOeRSBh.jpg,2024-03-08,Road House,False,7.148,375
False,/3JhQQFidqbrD9k9DxGFCba46EFk.jpg,"[14, 12, 35]",967847,en,Ghostbusters: Frozen Empire,"The Spengler family returns to where it all started – the iconic New York City firehouse – to team up with the original Ghostbusters, who've developed a top-secret research lab to take busting ghosts to the next level. But when the discovery of an ancient artifact unleashes an evil force, Ghostbusters new and old must join forces to protect their home and save the world from a second Ice Age.",470.434,/r65fWcFELCSeyyrkq5wY09EPSGN.jpg,2024-03-20,Ghostbusters: Frozen Empire,False,6.4,46
False,/elH2ZWRHOKpjUNHROvpTCZIvuO7.jpg,"[27, 53]",983526,no,Leave,"A young woman tries to find her origins after having been abandoned as an infant at a cemetery wrapped in a cloth with satanic symbols, but as she gets closer to answers a malevolent spirit is telling her to leave.",465.859,/aiw8k5wXSCkueUD7eavmnNtaQFO.jpg,2022-10-28,Leave,False,5.9,42
False,/G56AzECyTDp63sE7CbJ6AEBKhF.jpg,"[37, 28]",851925,en,Death Alley,"In 1892, the Dalton Gang set out to become the most famous outlaws in America. That dream would become a nightmare.",457.069,/iIKYK9mdapWlJ21YNRGB57WKErK.jpg,2021-03-11,Death Alley,False,5.655,29
False,/9JNsAIFMu4o37AgnU1JVtR6AWsK.jpg,"[10749, 28, 18]",1248795,tr,Romantik Hırsız,"After learning that the art thief she has been chasing is her ex-lover, an officer working for Interpol concocts a plan to catch him red-handed.",452.304,/niVtvS9Kf8G1VDPSqurqHkaSSwm.jpg,2024-03-14,Art of Love,False,7.024,62
False,/lzWHmYdfeFiMIY4JaMmtR7GEli3.jpg,"[878, 12]",438631,en,Dune,"Paul Atreides, a brilliant and gifted young man born into a great destiny beyond his understanding, must travel to the most dangerous planet in the universe to ensure the future of his family and his people. As malevolent forces explode into conflict over the planet's exclusive supply of the most precious resource in existence-a commodity capable of unlocking humanity's greatest potential-only those who can conquer their fear will survive.",441.05,/d5NXSklXo0qyIYkgV94XAgMIckC.jpg,2021-09-15,Dune,False,7.789,10917
False,/ehumsuIBbgAe1hg343oszCLrAfI.jpg,"[16, 10751, 14, 12]",1022796,en,Wish,"Asha, a sharp-witted idealist, makes a wish so powerful that it is answered by a cosmic force – a little ball of boundless energy called Star. Together, Asha and Star confront a most formidable foe - the ruler of Rosas, King Magnifico - to save her community and prove that when the will of one courageous human connects with the magic of the stars, wondrous things can happen.",439.103,/AcoVfiv1rrWOmAdpnAMnM56ki19.jpg,2023-11-13,Wish,False,6.631,888
False,/6SLyu9ygASsrOqkCpjAwtyG9PWW.jpg,"[10751, 878, 28, 35]",1094556,en,The Thundermans Return,"Twins Phoebe and Max are enjoying their superhero lifestyle, but when one 'save' goes awry, the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return, and Billy and Nora look forward to a normal high school life, Max and Phoebe are determined to regain their superhero status.",430.232,/2J5eeroLDY0d45mVjpuGhcLZs3W.jpg,2024-03-07,The Thundermans Return,False,7.9,71
False,/wW7Wt5bXzPy4VOEE4LTIUDyDgBo.jpg,"[12, 14, 28]",22,en,Pirates of the Caribbean: The Curse of the Black Pearl,"Jack Sparrow, a freewheeling 18th-century pirate, quarrels with a rival pirate bent on pillaging Port Royal. When the governor's daughter is kidnapped, Sparrow decides to help the girl's love save her.",426.239,/z8onk7LV9Mmw6zKz4hT6pzzvmvl.jpg,2003-07-09,Pirates of the Caribbean: The Curse of the Black Pearl,False,7.798,19826
False,/xi2pblvQtCnh26SeOYzx1YX3DLT.jpg,"[80, 28, 53]",1227816,en,Red Right Hand,"Cash is trying to live a quiet, honest life in a small Appalachian town. When a vicious crime boss forces him back into her services, he soon learns he's capable of anything -- even killing -- to protect his family and his home.",416.599,/vfEG79SQIg3p6B8rBLVeIo2BBhb.jpg,2024-02-22,Red Right Hand,False,7.432,66
False,/qz2QzkYzesbbL94rdUpZrFPhlRe.jpg,"[10749, 35, 14]",1019420,en,Irish Wish,Maddie's dream guy is days away from marrying her best friend when a wish for true love made on an ancient stone in Ireland magically alters her fate.,410.318,/v4Bb70dpIIQoEnZAHnm3nzCPauU.jpg,2024-03-14,Irish Wish,False,6.316,166
False,/feSiISwgEpVzR1v3zv2n2AU4ANJ.jpg,"[878, 12, 28]",609681,en,The Marvels,"Carol Danvers, aka Captain Marvel, has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan Kamala Khan, aka Ms. Marvel, and Carol’s estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team up and learn to work in concert to save the universe.",409.554,/9GBhzXMFjgcZ3FdR9w3bUMMTps5.jpg,2023-11-08,The Marvels,False,6.209,2076
False,/s9YTxwaByYeoSqugYjJJtZjMRAG.jpg,"[28, 27, 35, 53]",1211483,en,Skal - Fight for Survival,"My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",378.298,/1On8iF3AsFIbpyfZg1xiGWMAFBn.jpg,2023-11-24,Skal - Fight for Survival,False,5.5,53
False,/4MCKNAc6AbWjEsM2h9Xc29owo4z.jpg,"[28, 53, 18]",866398,en,The Beekeeper,One man's campaign for vengeance takes on national stakes after he is revealed to be a former operative of a powerful and clandestine organization known as Beekeepers.,373.862,/A7EByudX0eOzlkQ2FIbogzyazm2.jpg,2024-01-08,The Beekeeper,False,7.475,1792
False,/6SLyu9ygASsrOqkCpjAwtyG9PWW.jpg,"[10751, 878, 28, 35]",1094556,en,The Thundermans Return,"Twins Phoebe and Max are enjoying their superhero lifestyle, but when one 'save' goes awry, the Thundermans are sent back to Hiddenville. While Hank and Barb enjoy their return, and Billy and Nora look forward to a normal high school life, Max and Phoebe are determined to regain their superhero status.",430.232,/2J5eeroLDY0d45mVjpuGhcLZs3W.jpg,2024-03-07,The Thundermans Return,False,7.9,71
False,/xi2pblvQtCnh26SeOYzx1YX3DLT.jpg,"[80, 28, 53]",1227816,en,Red Right Hand,"Cash is trying to live a quiet, honest life in a small Appalachian town. When a vicious crime boss forces him back into her services, he soon learns he's capable of anything -- even killing -- to protect his family and his home.",416.599,/vfEG79SQIg3p6B8rBLVeIo2BBhb.jpg,2024-02-22,Red Right Hand,False,7.432,66
False,/s9YTxwaByYeoSqugYjJJtZjMRAG.jpg,"[28, 27, 35, 53]",1211483,en,Skal - Fight for Survival,"My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",378.298,/1On8iF3AsFIbpyfZg1xiGWMAFBn.jpg,2023-11-24,Skal - Fight for Survival,False,5.5,53
False,/7gEfOcnoP2wAgtd7FYPsJopvJZ1.jpg,"[16, 10751, 18, 12, 14]",1022789,en,Inside Out 2,"Teenager Riley's mind headquarters is undergoing a sudden demolition to make room for something entirely unexpected: new Emotions! Joy, Sadness, Anger, Fear and Disgust, who’ve long been running a successful operation by all accounts, aren’t sure how to feel when Anxiety shows up. And it looks like she’s not alone.",300.221,/xeqXXTE1Cd3qNaAEOT6qbhhCsgJ.jpg,2024-06-13,Inside Out 2,False,0.0,0
False,/mmpnUZebJhFXewEUuP7OGM4GuNF.jpg,"[878, 12, 18]",636706,en,Spaceman,"During a research mission, an astronaut discovers that his marriage is in trouble. Luckily, he has the help of a mysterious creature hidden in his ship.",296.737,/f46WvKEsBn98WJbPJcO47ZoKn6B.jpg,2024-02-23,Spaceman,False,6.716,431
False,/ctMserH8g2SeOAnCw5gFjdQF8mo.jpg,"[35, 12]",346698,en,Barbie,"Barbie and Ken are having the time of their lives in the colorful and seemingly perfect world of Barbie Land. However, when they get a chance to go to the real world, they soon discover the joys and perils of living among humans.",285.816,/iuFNMS8U5cb6xfzi51Dbkovj7vM.jpg,2023-07-19,Barbie,False,7.101,7816
False,/88jdqvwNV6uJx8Y9V4zvoN30MuY.jpg,"[878, 27, 28]",940721,ja,ゴジラ-1.0,"Postwar Japan is at its lowest point when a new crisis emerges in the form of a giant monster, baptized in the horrific power of the atomic bomb.",305.542,/hkxxMIGaiCTmrEArK7J56JTKUlB.jpg,2023-11-03,Godzilla Minus One,False,7.858,449
False,,"[16, 14]",59300,ja,デンゼルを中心としたオリジナルアニメ,It's been four years since Meteor fell on Midgar. Denzel meets Reeve at an outskirts coffee shop about joining the World Regenesis Organization. Upon the request Denzel tells Reeve about what his life was like prior to the Meteor incident.,316.845,/jn0qp1t7mExBze9qzy4pryFCbpm.jpg,2009-04-16,Final Fantasy VII: On the Way to a Smile - Episode Denzel,False,5.6,26
False,/hIeEpk2w1dnC9ly9ZJwwbunH2Cx.jpg,"[16, 35, 18, 10751]",838240,es,Robot Dreams,"Dog lives in Manhattan and he's tired of being alone. One day he decides to build himself a robot, a companion. Their friendship blossoms, until they become inseparable, to the rhythm of 80's NYC. One summer night, Dog, with great sadness, is forced to abandon Robot at the beach. Will they ever meet again?",313.699,/vSzOobYVu16MogSALNg1bjTaGc.jpg,2023-10-20,Robot Dreams,False,7.507,134
False,/loeggqqCjQFFEVEixbO3UJ7df9v.jpg,"[27, 878]",1161663,en,Ghost Project,"Three young programmers come across an abandoned technology meant to detect supernatural presence. They reverse engineer the tech and create an app for their phones which allows them to see ghosts, thus endangering their own lives.",363.265,/jYBEX4ed6NBeDYbqC5Rd0xVzblO.jpg,2023-08-07,Ghost Project,False,6.444,18
False,/ruKNVJFViAyR4jguVboFXTskMOe.jpg,"[53, 28, 27]",1028703,en,The OctoGames,"Eight contestants compete in eight deadly, classic children's games. They seek fame beyond their wildest dreams, competing for the chance to take over the YouTube channel of the famous yet elusive masked content creator known only as ""JaxPro"".",338.601,/qGz5rffXhegQH5PGUDiObqoOt06.jpg,2022-10-07,The OctoGames,False,5.634,97
