adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/oFAukXiMPrwLpbulGmB5suEZlrm.jpg,28,624091,id,Sri Asih,"Alana discover the truth about her origin: she’s not an ordinary human being. She may be the gift for humanity and become its protector as Sri Asih. Or a destruction, if she can’t control her anger.",1551.118,/wShcJSKMFg1Dy1yq7kEZuay6pLS.jpg,2022-11-17,Sri Asih,False,6.487,38
False,/zE4I9YvrrMUfwDZ3zLiN10eRZxG.jpg,27,11357,en,Halloween 4: The Return of Michael Myers,Michael returns to Haddonfield for Jamie Lloyd -- the orphaned daughter of Laurie Strode -- and her babysitter Rachel. Can Dr. Sam Loomis stop him before the unholy slaughter reaches his innocent young niece?,27.287,/eFSOkXF9n9hsfGv45MDsPixiOyx.jpg,1988-10-21,Halloween 4: The Return of Michael Myers,False,6.191,1810
False,/cZmOrIOkJ2SNfVdiO85dUbOAYnL.jpg,16,1012201,ja,劇場版ハイキュー!! ゴミ捨て場の決戦,"Karasuno High School made it through the Miyagi prefecture preliminaries for the Harutaka Volleyball Tournament, which was crowded with strong teams, and advanced to the third round by defeating Hyogo Prefecture representative Inarizaki High School, which was considered one of the favorites for the championship. Their opponent, Nekoma High School, used to have a rivalry with Karasuno, and although their interactions with each other decreased at one point, after Hinata and the others joined the club, they once again became good friends, working out together at training camps and practice games. The battle is called the ""Battle at the Garbage Dump"" because of the ""crow"" and ""cat"" names in the school's name.",27.651,/8iPstBjKGHEQcart2JaeJoD64Ht.jpg,2024-02-16,Haikyu!!: The Dumpster Battle,False,8.75,6
False,/3FJ53wbpjSAGY98KYiHJ4DQccDr.jpg,35,800937,en,Senior Year,A thirty-seven-year-old woman wakes up from a twenty-year coma and returns to the high school where she was once a popular cheerleader to finish her senior year and become prom queen.,25.802,/6UqbcDQhCYpxboK58Z0eVfdeHcT.jpg,2022-05-11,Senior Year,False,5.955,757
False,/5Zvu4SrY3p9qgnITkCn4jAQwKvB.jpg,9648,426563,en,Holmes & Watson,"Detective Sherlock Holmes and Dr. John Watson join forces to investigate a murder at Buckingham Palace. They soon learn that they have only four days to solve the case, or the queen will become the next victim.",31.284,/orEUlKndjV1rEcWqXbbjegjfv97.jpg,2018-12-25,Holmes & Watson,False,4.275,798
False,/wxhK0vWDg9aGuw1grSw1jJE51yO.jpg,18,546726,en,Sub Rosa,"Bullied by his father to grow up, a teen fights between the love of his step-mother over his father's life.",22.918,/yVwt1gPaQxCUV8iC8i1rca6FSji.jpg,2014-08-10,Sub Rosa,False,6.231,13
False,/bedlwW8oxXF182QbxB4WL6nij4D.jpg,35,1251316,en,Shush!,Moviegoers have a wacky time.,24.18,/oRvuYptqKx0k814VOXQzqL4iAaY.jpg,2024-03-24,Shush!,False,10.0,1
False,/s9YTxwaByYeoSqugYjJJtZjMRAG.jpg,28,1211483,en,Skal - Fight for Survival,"My name's Arthur, a huge Internet star who's just hit 3 million subs. While in the midst of throwing an epic party to celebrate, the universe had the balls to bring on the effing apocalypse and cut my night short. What was supposed to be a perfect hangover, has turned into an epic fight for survival.",495.996,/1On8iF3AsFIbpyfZg1xiGWMAFBn.jpg,2023-11-24,Skal - Fight for Survival,False,5.5,53
False,/mmpnUZebJhFXewEUuP7OGM4GuNF.jpg,878,636706,en,Spaceman,"During a research mission, an astronaut discovers that his marriage is in trouble. Luckily, he has the help of a mysterious creature hidden in his ship.",361.398,/f46WvKEsBn98WJbPJcO47ZoKn6B.jpg,2024-02-23,Spaceman,False,6.724,437
False,/2kDwpHDhCtTXtBIwAaZITUkQyZU.jpg,16,604605,ja,HELLO WORLD,"A shy high schooler in Kyoto meets a man claiming to be his future self, who tells him he’s hacked into the past to save their first love.",25.456,/vmizP4G4EWsxNf6PLOvGNaFJ89Y.jpg,2019-09-20,Hello World,False,7.3,345
False,/sz4J5jAjYBPzEpwrllEfxd5JcWX.jpg,53,717980,en,Sharper,"A small, wealthy family in New York City gets progressively torn apart by secrets, lies, and the theft that orchestrates all of it.",23.739,/tq8x5F17q95T1j0up5rpzXFAylN.jpg,2023-02-10,Sharper,False,7.012,431
False,/shS6buEDnEDoHTdLbGzCoDIZ9ur.jpg,27,840889,en,Stopmotion,"Ella Blake, a stop-motion animator struggling to control her demons after the loss of her overbearing mother, embarks upon the creation of a film that becomes the battleground for her sanity. As Ella’s mind starts to fracture, the characters in her project take on a life of their own.",357.939,/kWzWZEctPcZ0dATbtcYy6lIJgGj.jpg,2024-02-22,Stopmotion,False,7.385,26
False,/jbthbh0KzaUWFPYvkfmXAamjI8j.jpg,16,569094,en,Spider-Man: Across the Spider-Verse,"After reuniting with Gwen Stacy, Brooklyn’s full-time, friendly neighborhood Spider-Man is catapulted across the Multiverse, where he encounters the Spider Society, a team of Spider-People charged with protecting the Multiverse’s very existence. But when the heroes clash on how to handle a new threat, Miles finds himself pitted against the other Spiders and must set out on his own to save those he loves most.",270.926,/8Vt6mWEReuy4Of61Lnj5Xj704m8.jpg,2023-05-31,Spider-Man: Across the Spider-Verse,False,8.4,6019
False,/tTqTWPtve5GRXBjyOojou9RauRT.jpg,35,12591,en,Santa's Slay,"Santa Claus is actually a demon who lost a bet with an angel, so he became the giver of toys and happiness. But this year the bet is off, and Santa is about to return to his evil ways.",13.829,/sdd0TRVpMjAViiBPq0oufYOHg0m.jpg,2005-10-25,Santa's Slay,False,5.436,219
